date,wasserstein_distance,beta0,beta1,beta2,lp2_distance
2019-09-18 00:00:00,1.2790404558181763,3,0,0,12.5
2019-09-19 00:00:00,1.3256194591522217,2,0,0,12.5
2019-09-20 00:00:00,1.0433103740215302,2,0,0,4.5
2019-09-23 00:00:00,0.9350617527961731,2,0,0,2.0
2019-09-24 00:00:00,0.7038565874099731,2,0,0,0.5
2019-09-25 00:00:00,0.44977137446403503,2,0,0,0.0
2019-09-26 00:00:00,0.41975170373916626,2,0,0,0.5
2019-09-27 00:00:00,0.3537503182888031,2,0,0,0.0
2019-09-30 00:00:00,0.3657730519771576,2,0,0,0.0
2019-10-01 00:00:00,0.339908629655838,2,0,0,0.0
2019-10-02 00:00:00,0.25758641958236694,2,0,0,0.0
2019-10-03 00:00:00,0.36227020621299744,1,0,0,0.0
2019-10-04 00:00:00,0.5925734043121338,1,0,0,0.5
2019-10-07 00:00:00,0.886748731136322,1,0,0,2.0
2019-10-08 00:00:00,0.8260200619697571,1,0,0,2.0
2019-10-09 00:00:00,0.7906387448310852,1,0,0,2.0
2019-10-10 00:00:00,0.9081706702709198,1,0,0,2.0
2019-10-11 00:00:00,1.0937595665454865,1,0,0,2.0
2019-10-14 00:00:00,1.0492031574249268,1,0,0,2.0
2019-10-15 00:00:00,0.9958646893501282,1,0,0,2.0
2019-10-16 00:00:00,0.9309786856174469,1,0,0,2.0
2019-10-17 00:00:00,0.8193457424640656,1,0,0,2.0
2019-10-18 00:00:00,0.41256648302078247,2,0,0,0.0
2019-10-21 00:00:00,0.34643980860710144,2,0,0,0.0
2019-10-22 00:00:00,0.24555355310440063,2,0,0,0.0
2019-10-23 00:00:00,0.267836332321167,2,0,0,0.0
2019-10-24 00:00:00,0.2631174325942993,2,0,0,0.0
2019-10-25 00:00:00,0.25042590498924255,2,0,0,0.0
2019-10-28 00:00:00,0.37212496995925903,3,0,0,0.5
2019-10-29 00:00:00,0.4553726315498352,3,0,0,0.5
2019-10-30 00:00:00,0.6957455575466156,4,0,0,2.0
2019-10-31 00:00:00,0.8371755480766296,4,0,0,2.0
2019-11-01 00:00:00,1.0264787077903748,4,0,0,4.5
2019-11-04 00:00:00,1.2901644706726074,4,0,0,4.5
2019-11-05 00:00:00,1.6804266571998596,5,0,0,8.0
2019-11-06 00:00:00,1.6118851006031036,5,0,0,8.0
2019-11-07 00:00:00,1.8006179928779602,6,0,0,12.5
2019-11-08 00:00:00,1.9426397383213043,6,0,0,12.5
2019-11-11 00:00:00,1.9869360029697418,6,0,0,12.5
2019-11-12 00:00:00,1.849256694316864,6,0,0,12.5
2019-11-13 00:00:00,1.8222834765911102,6,0,0,12.5
2019-11-14 00:00:00,1.6976289749145508,6,0,0,12.5
